part,cond,measure,score
1,0,dprime,0.09151741
1,0,beta,1.115681
1,0,aprime,0.2307692
1,0,bppd,1
1,0,c,1.196108
1,0,hitrate,0
1,0,farate,0.07692308
1,0,mmodel,10
1,0,trust,3.9
1,0,workload,19
1,0,rt_avg,
1,1,dprime,0.6523937
1,1,beta,2.620302
1,1,aprime,0
1,1,bppd,0
1,1,c,1.476546
1,1,hitrate,0
1,1,farate,0
1,1,mmodel,12
1,1,trust,3.8
1,1,workload,16
1,1,rt_avg,
1,2,dprime,0.6523937
1,2,beta,2.620302
1,2,aprime,0
1,2,bppd,0
1,2,c,1.476546
1,2,hitrate,0
1,2,farate,0
1,2,mmodel,13
1,2,trust,3.5
1,2,workload,19
1,2,rt_avg,
2,0,dprime,0.6523937
2,0,beta,2.620302
2,0,aprime,0
2,0,bppd,0
2,0,c,1.476546
2,0,hitrate,0
2,0,farate,0
2,0,mmodel,9
2,0,trust,2.3
2,0,workload,9
2,0,rt_avg,
2,1,dprime,0.6523937
2,1,beta,2.620302
2,1,aprime,0
2,1,bppd,0
2,1,c,1.476546
2,1,hitrate,0
2,1,farate,0
2,1,mmodel,18
2,1,trust,2.4
2,1,workload,9
2,1,rt_avg,
2,2,dprime,2.953092
2,2,beta,2.620302
2,2,aprime,1
2,2,bppd,0
2,2,c,0.3261969
2,2,hitrate,1
2,2,farate,0
2,2,mmodel,12
2,2,trust,2.1
2,2,workload,9
2,2,rt_avg,
3,0,dprime,0.9674216
3,0,beta,0.6262834
3,0,aprime,0.875
3,0,bppd,-1
3,0,c,-0.4837108
3,0,hitrate,1
3,0,farate,0.5
3,0,mmodel,4
3,0,trust,2.8
3,0,workload,19
3,0,rt_avg,
3,1,dprime,2.121382
3,1,beta,4.826762
3,1,aprime,0.9166667
3,1,bppd,1
3,1,c,0.7420519
3,1,hitrate,0.6666667
3,1,farate,0
3,1,mmodel,-1
3,1,trust,3.5
3,1,workload,17
3,1,rt_avg,
3,2,dprime,2.392216
3,2,beta,1.11568
3,2,aprime,0.9807692
3,2,bppd,-1
3,2,c,0.04575871
3,2,hitrate,1
3,2,farate,0.07692308
3,2,mmodel,0
3,2,trust,3.3
3,2,workload,10
3,2,rt_avg,
4,0,dprime,2.392216
4,0,beta,1.11568
4,0,aprime,0.9807692
4,0,bppd,-1
4,0,c,0.04575871
4,0,hitrate,1
4,0,farate,0.07692308
4,0,mmodel,4
4,0,trust,3.8
4,0,workload,31
4,0,rt_avg,
4,1,dprime,1.484104
4,1,beta,4.826762
4,1,aprime,0.8333333
4,1,bppd,1
4,1,c,1.060691
4,1,hitrate,0.5
4,1,farate,0
